iter	Passed	Remaining
447	1083	1335
448	1084	1331
449	1086	1327
450	1087	1323
451	1088	1319
452	1089	1315
453	1090	1311
454	1092	1308
455	1093	1304
456	1094	1300
457	1095	1296
458	1097	1294
459	1099	1290
460	1100	1286
461	1101	1282
462	1102	1278
463	1103	1275
464	1105	1271
465	1106	1267
466	1107	1263
467	1108	1260
468	1111	1258
469	1113	1255
470	1115	1252
471	1116	1249
472	1118	1245
473	1119	1242
474	1120	1238
475	1121	1234
476	1122	1231
477	1123	1227
478	1125	1224
479	1127	1221
480	1128	1217
481	1129	1214
482	1130	1210
483	1132	1206
484	1133	1203
485	1134	1199
486	1135	1196
487	1136	1192
488	1138	1189
489	1139	1186
490	1142	1184
491	1143	1180
492	1144	1177
493	1146	1174
494	1147	1170
495	1149	1167
496	1150	1164
497	1151	1160
498	1152	1157
499	1153	1153
500	1156	1152
501	1157	1148
502	1159	1145
503	1160	1141
504	1161	1138
505	1162	1134
506	1163	1131
507	1165	1128
508	1166	1125
509	1167	1121
510	1168	1118
511	1171	1116
512	1172	1113
513	1173	1109
514	1174	1106
515	1176	1103
516	1177	1099
517	1178	1096
518	1179	1093
519	1180	1090
520	1182	1086
521	1183	1083
522	1186	1081
523	1187	1078
524	1189	1075
525	1190	1073
526	1192	1070
527	1194	1068
528	1196	1065
529	1197	1062
530	1200	1060
531	1202	1057
532	1203	1054
533	1205	1051
534	1206	1048
535	1208	1046
536	1209	1043
537	1211	1040
538	1212	1037
539	1214	1034
540	1216	1032
541	1217	1029
542	1219	1025
543	1220	1022
544	1221	1019
545	1222	1016
546	1223	1013
547	1225	1010
548	1226	1007
549	1227	1004
550	1228	1001
551	1230	998
552	1231	995
553	1233	992
554	1234	990
555	1235	986
556	1237	983
557	1238	980
558	1239	977
559	1240	974
560	1241	971
561	1244	969
562	1246	967
563	1247	964
564	1248	961
565	1250	958
566	1251	955
567	1252	952
568	1254	949
569	1255	946
570	1256	943
571	1259	942
572	1260	939
573	1261	936
574	1262	933
575	1264	930
576	1265	927
577	1266	924
578	1267	921
579	1268	918
580	1269	915
581	1271	913
582	1273	911
583	1275	908
584	1276	905
585	1277	902
586	1278	899
587	1279	896
588	1280	893
589	1282	890
590	1283	888
591	1284	885
592	1285	882
593	1287	879
594	1289	877
595	1290	874
596	1291	871
597	1292	869
598	1294	866
599	1295	863
600	1296	860
601	1297	857
602	1298	855
603	1300	852
604	1301	849
605	1303	847
606	1305	844
607	1306	842
608	1307	839
609	1308	836
610	1310	834
611	1311	831
612	1312	828
613	1313	825
614	1314	823
615	1316	820
616	1330	825
617	1331	823
618	1333	820
619	1335	818
620	1336	815
621	1338	813
622	1339	810
623	1340	807
624	1342	805
625	1343	802
626	1344	800
627	1346	797
628	1347	794
629	1349	792
630	1351	790
631	1352	787
632	1353	784
633	1354	782
634	1355	779
635	1357	776
636	1358	774
637	1359	771
638	1360	768
639	1361	766
640	1364	764
641	1365	761
642	1367	759
643	1368	756
644	1369	753
645	1370	751
646	1371	748
647	1372	745
648	1374	743
649	1375	740
650	1376	738
651	1379	736
652	1380	733
653	1381	731
654	1383	728
655	1384	725
656	1385	723
657	1386	720
658	1387	718
659	1389	715
660	1390	712
661	1391	710
662	1393	708
663	1395	706
664	1396	703
665	1397	700
666	1398	698
667	1399	695
668	1401	693
669	1402	690
670	1403	688
671	1404	685
672	1405	683
673	1408	681
674	1409	678
675	1410	676
676	1412	673
677	1413	671
678	1414	668
679	1415	666
680	1416	663
681	1418	661
682	1419	658
683	1420	656
684	1423	654
685	1424	652
686	1426	649
687	1427	647
688	1429	645
689	1430	642
690	1431	640
691	1433	637
692	1434	635
693	1436	633
694	1438	631
695	1440	629
696	1442	626
697	1443	624
698	1444	622
699	1446	619
700	1447	617
701	1449	615
702	1451	613
703	1452	610
704	1454	608
705	1456	606
706	1457	604
707	1459	601
708	1461	599
709	1462	597
710	1463	594
711	1464	592
712	1466	590
713	1467	588
714	1469	585
715	1470	583
716	1471	580
717	1473	578
718	1474	576
719	1475	573
720	1476	571
721	1477	568
722	1478	566
723	1480	564
724	1481	561
725	1484	560
726	1486	558
727	1487	555
728	1489	553
729	1490	551
730	1492	549
731	1493	546
732	1495	544
733	1496	542
734	1500	540
735	1501	538
736	1502	536
737	1503	533
738	1504	531
739	1506	529
740	1507	526
741	1508	524
742	1509	522
743	1511	519
744	1514	518
745	1516	516
746	1517	513
747	1518	511
748	1520	509
749	1521	507
750	1523	504
751	1524	502
752	1525	500
753	1526	498
754	1528	496
755	1529	493
756	1531	491
757	1532	489
758	1533	486
759	1534	484
760	1535	482
761	1536	480
762	1538	477
763	1539	475
764	1540	473
765	1542	471
766	1544	469
767	1545	466
768	1546	464
769	1547	462
770	1548	459
771	1549	457
772	1551	455
773	1552	453
774	1553	451
775	1554	448
776	1557	446
777	1558	444
778	1559	442
779	1560	440
780	1562	438
781	1563	435
782	1564	433
783	1565	431
784	1567	429
785	1568	427
786	1569	424
787	1571	422
788	1573	420
789	1574	418
790	1575	416
791	1576	414
792	1577	411
793	1579	409
794	1580	407
795	1582	405
796	1583	403
797	1584	401
798	1586	399
799	1588	397
800	1589	394
801	1590	392
802	1591	390
803	1592	388
804	1593	386
805	1595	383
806	1596	381
807	1597	379
808	1598	377
809	1599	375
810	1601	373
811	1602	371
812	1603	368
813	1605	366
814	1606	364
815	1607	362
816	1608	360
817	1609	358
818	1610	356
819	1612	353
820	1613	351
821	1616	349
822	1617	347
823	1619	345
824	1620	343
825	1621	341
826	1623	339
827	1624	337
828	1625	335
829	1627	333
830	1628	331
831	1630	329
832	1632	327
833	1633	325
834	1634	322
835	1635	320
836	1636	318
837	1638	316
838	1639	314
839	1640	312
840	1641	310
841	1642	308
842	1645	306
843	1646	304
844	1647	302
845	1648	300
846	1650	298
847	1651	295
848	1652	293
849	1653	291
850	1654	289
851	1656	287
852	1657	285
853	1659	283
854	1661	281
855	1662	279
856	1663	277
857	1665	275
858	1666	273
859	1667	271
860	1668	269
861	1669	267
862	1671	265
863	1672	263
864	1674	261
865	1676	259
866	1677	257
867	1678	255
868	1679	253
869	1680	251
870	1681	249
871	1682	247
872	1684	245
873	1685	242
874	1686	240
875	1687	238
876	1689	237
877	1691	234
878	1692	232
879	1693	230
880	1694	228
881	1695	226
882	1697	224
883	1698	222
884	1699	220
885	1700	218
886	1701	216
887	1705	215
888	1706	213
889	1707	211
890	1708	209
891	1710	207
892	1711	205
893	1712	203
894	1713	201
895	1714	199
896	1716	197
897	1717	195
898	1719	193
899	1721	191
900	1722	189
901	1723	187
902	1725	185
903	1726	183
904	1728	181
905	1729	179
906	1730	177
907	1731	175
908	1734	173
909	1735	171
910	1736	169
911	1738	167
912	1739	165
913	1740	163
914	1741	161
915	1742	159
916	1743	157
917	1745	155
918	1746	153
919	1749	152
920	1750	150
921	1751	148
922	1752	146
923	1753	144
924	1755	142
925	1756	140
926	1757	138
927	1758	136
928	1760	134
929	1761	132
930	1763	130
931	1764	128
932	1766	126
933	1767	124
934	1768	122
935	1769	120
936	1770	119
937	1771	117
938	1773	115
939	1774	113
940	1776	111
941	1778	109
942	1779	107
943	1781	105
944	1782	103
945	1783	101
946	1784	99
947	1785	97
948	1786	96
949	1788	94
950	1789	92
951	1790	90
952	1792	88
953	1794	86
954	1795	84
955	1796	82
956	1797	80
957	1798	78
958	1800	76
959	1801	75
960	1802	73
961	1803	71
962	1805	69
963	1806	67
964	1808	65
965	1809	63
966	1811	61
967	1812	59
968	1813	58
969	1815	56
970	1817	54
971	1818	52
972	1819	50
973	1820	48
974	1824	46
975	1825	44
976	1827	43
977	1828	41
978	1830	39
979	1831	37
980	1832	35
981	1833	33
982	1835	31
983	1837	29
984	1839	28
985	1840	26
986	1841	24
987	1842	22
988	1844	20
989	1845	18
990	1846	16
991	1847	14
992	1848	13
993	1850	11
994	1852	9
995	1853	7
996	1855	5
997	1856	3
998	1857	1
999	1858	0
